suite,run,population,screen_prompts,n,best_screen_exact,base_screen_exact,delta_vs_base,best_candidate
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,1,0.0625,0.0,0.0625,isotropic:seed688209390:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,2,0.0625,0.0,0.0625,isotropic:seed688209390:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,3,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,4,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,5,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,6,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,7,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,8,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,9,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,10,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,11,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,12,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,13,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,14,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,15,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,16,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,17,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,18,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,19,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,20,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,21,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,22,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,23,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,24,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,25,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,26,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,27,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,28,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,29,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,30,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,31,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,32,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,33,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,34,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,35,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,36,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,37,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,38,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,39,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,40,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,41,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,42,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,43,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,44,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,45,0.125,0.0,0.125,isotropic:seed891772234:s0.0075:sign1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,46,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,47,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,48,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,49,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,50,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,51,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,52,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,53,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,54,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,55,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,56,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,57,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,58,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,59,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,60,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,61,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,62,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,63,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,64,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,65,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,66,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,67,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,68,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,69,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,70,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,71,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,72,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,73,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,74,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,75,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,76,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,77,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,78,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,79,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,80,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,81,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
