actual_sha256,adapter,candidate,expected_sha256,module,note,pass,tensor
525d0ae1ee7bc1400c3c6a7cb82b1feaaee4fd9f4c67246eabef8e619be1e102,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,525d0ae1ee7bc1400c3c6a7cb82b1feaaee4fd9f4c67246eabef8e619be1e102,model.layers.0.self_attn.q_proj,,True,lora_A
47bca2b305b7a9f9bb6931ec31664ba849c4d65c0e1007080b9ac101143fe59b,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,47bca2b305b7a9f9bb6931ec31664ba849c4d65c0e1007080b9ac101143fe59b,model.layers.0.self_attn.q_proj,,True,lora_B
c4d41a8cc8542c212408e65c42b5b33e1aa7327a8ed9d2b4a7f6639113fce9a5,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,c4d41a8cc8542c212408e65c42b5b33e1aa7327a8ed9d2b4a7f6639113fce9a5,model.layers.0.self_attn.v_proj,,True,lora_A
4e96ce35b9508f42e0a9be28d1c6ed81f89a198f9d31f40743224dc865fbb94d,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,4e96ce35b9508f42e0a9be28d1c6ed81f89a198f9d31f40743224dc865fbb94d,model.layers.0.self_attn.v_proj,,True,lora_B
ad8d11d24feb39dea1bd65a4fe159afdf0b6f26c27285630ec0e76cf72aae027,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,ad8d11d24feb39dea1bd65a4fe159afdf0b6f26c27285630ec0e76cf72aae027,model.layers.1.self_attn.q_proj,,True,lora_A
4cdaaa9910ad32b9802c6406c8e387d2473bbd73ea00b7125f95e73e98c0d9b8,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,4cdaaa9910ad32b9802c6406c8e387d2473bbd73ea00b7125f95e73e98c0d9b8,model.layers.1.self_attn.q_proj,,True,lora_B
64a4141d2ef2b3f7167fa49be66b0bf2425a7b4d81523ba25960e2e666a372fe,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,64a4141d2ef2b3f7167fa49be66b0bf2425a7b4d81523ba25960e2e666a372fe,model.layers.1.self_attn.v_proj,,True,lora_A
8ac5a4f027f26fc01cf3f5f8e6aec09b7f41cb547e962eedddec67e1a63ba1ab,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,8ac5a4f027f26fc01cf3f5f8e6aec09b7f41cb547e962eedddec67e1a63ba1ab,model.layers.1.self_attn.v_proj,,True,lora_B
8c3d2c8acf9e4cef694f60dd47b3a305f0b7d51700197761d5bf89086523d652,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,8c3d2c8acf9e4cef694f60dd47b3a305f0b7d51700197761d5bf89086523d652,model.layers.2.self_attn.q_proj,,True,lora_A
d1c17b31a6ff1267e443a6c7c9da65f78306b7e2cd3567b699ae2a7024cd48f8,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,d1c17b31a6ff1267e443a6c7c9da65f78306b7e2cd3567b699ae2a7024cd48f8,model.layers.2.self_attn.q_proj,,True,lora_B
e7d201c1432411bf68100487ce590140340823e1c9573ffed73310462fc94683,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,e7d201c1432411bf68100487ce590140340823e1c9573ffed73310462fc94683,model.layers.2.self_attn.v_proj,,True,lora_A
700c3ed184ac21f3719550f1daa198e224e0cb31faef119f72bd1e5f089220da,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,700c3ed184ac21f3719550f1daa198e224e0cb31faef119f72bd1e5f089220da,model.layers.2.self_attn.v_proj,,True,lora_B
1a41f7553665aa853acf5ddb7a7618324cd13d3d0317ec19868b8574a25a7586,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,1a41f7553665aa853acf5ddb7a7618324cd13d3d0317ec19868b8574a25a7586,model.layers.3.self_attn.q_proj,,True,lora_A
773f839356ca46fae2a4c6a748cde1133d8d5ec9c93211376ba0e66ff96adefb,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,773f839356ca46fae2a4c6a748cde1133d8d5ec9c93211376ba0e66ff96adefb,model.layers.3.self_attn.q_proj,,True,lora_B
0f93d3d411d12152b5575145ab28a83a2dda1979085a74976c86fbf746ff724e,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0f93d3d411d12152b5575145ab28a83a2dda1979085a74976c86fbf746ff724e,model.layers.3.self_attn.v_proj,,True,lora_A
0cb4c33edd12b763da4a7995e8dbeb71b48611cad61337b74494b0d67061bea2,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0cb4c33edd12b763da4a7995e8dbeb71b48611cad61337b74494b0d67061bea2,model.layers.3.self_attn.v_proj,,True,lora_B
37b7c8880bdac477f5ae82865607d7b19daca90cb9ca43ba90e06225e2dbf16d,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,37b7c8880bdac477f5ae82865607d7b19daca90cb9ca43ba90e06225e2dbf16d,model.layers.4.self_attn.q_proj,,True,lora_A
0cef9d2c9666cdd6f50e60d2f48f3fff25149c8b08182eb3869352028f0230eb,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0cef9d2c9666cdd6f50e60d2f48f3fff25149c8b08182eb3869352028f0230eb,model.layers.4.self_attn.q_proj,,True,lora_B
