answer_equal_rate,candidate,cap_hit_delta,exact_delta,exact_disagreement_rate,malformed_delta,n,peft_exact_mean,text_equal_rate,vllm_exact_mean
0.3125,factor_gaussian_lora:seed1632697641:s0.0075:sign-1,-0.59375,0.125,0.125,-0.59375,64,0.0,0.25,0.125
0.421875,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-0.375,0.0625,0.09375,-0.390625,64,0.03125,0.125,0.09375
0.28125,factor_gaussian_lora:seed1825954996:s0.0075:sign1,0.015625,0.0625,0.0625,-0.015625,64,0.0,0.203125,0.0625
0.296875,factor_gaussian_lora:seed326653716:s0.0075:sign1,-0.703125,0.0625,0.0625,-0.703125,64,0.0,0.140625,0.0625
0.625,factor_gaussian_lora:seed221822464:s0.0075:sign-1,-0.09375,0.046875,0.078125,0.0,64,0.109375,0.484375,0.15625
0.28125,factor_gaussian_lora:seed1837932928:s0.0075:sign-1,0.0,0.046875,0.046875,0.0,64,0.015625,0.28125,0.0625
0.484375,factor_gaussian_lora:seed513262593:s0.0075:sign1,-0.265625,0.046875,0.046875,-0.15625,64,0.0,0.453125,0.046875
0.53125,factor_gaussian_lora:seed92382467:s0.0075:sign-1,0.0,0.046875,0.046875,0.0,64,0.015625,0.5,0.0625
0.71875,factor_gaussian_lora:seed1099262776:s0.0075:sign1,0.0,0.03125,0.0625,-0.046875,64,0.09375,0.71875,0.125
0.640625,factor_gaussian_lora:seed1411240924:s0.0075:sign1,-0.03125,-0.03125,0.0625,-0.046875,64,0.21875,0.625,0.1875
0.5625,factor_gaussian_lora:seed326653716:s0.0075:sign-1,0.0,0.03125,0.0625,-0.015625,64,0.046875,0.5625,0.078125
0.5625,factor_gaussian_lora:seed513262593:s0.0075:sign-1,-0.03125,0.03125,0.0625,0.0,64,0.03125,0.5625,0.0625
0.5625,factor_gaussian_lora:seed1167280424:s0.0075:sign-1,-0.359375,0.03125,0.03125,-0.359375,64,0.0,0.15625,0.03125
0.703125,factor_gaussian_lora:seed1167280424:s0.0075:sign1,-0.203125,0.03125,0.03125,-0.015625,64,0.015625,0.703125,0.046875
0.5,factor_gaussian_lora:seed1442006728:s0.0075:sign1,-0.484375,0.03125,0.03125,-0.453125,64,0.0,0.21875,0.03125
0.375,factor_gaussian_lora:seed1825954996:s0.0075:sign-1,-0.578125,0.03125,0.03125,-0.515625,64,0.0,0.265625,0.03125
0.5625,factor_gaussian_lora:seed1837932928:s0.0075:sign1,-0.015625,-0.03125,0.03125,0.046875,64,0.078125,0.546875,0.046875
0.453125,factor_gaussian_lora:seed2007660583:s0.0075:sign-1,0.0,0.03125,0.03125,0.015625,64,0.015625,0.4375,0.046875
0.46875,factor_gaussian_lora:seed509771609:s0.0075:sign-1,-0.953125,-0.03125,0.03125,0.015625,64,0.03125,0.421875,0.0
0.734375,factor_gaussian_lora:seed668789807:s0.0075:sign1,0.0,0.03125,0.03125,0.0,64,0.015625,0.734375,0.046875
0.75,factor_gaussian_lora:seed1156649635:s0.0075:sign-1,-0.03125,0.015625,0.046875,-0.046875,64,0.0625,0.640625,0.078125
0.71875,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,-0.015625,0.046875,0.015625,64,0.0625,0.71875,0.046875
0.75,factor_gaussian_lora:seed283920945:s0.0075:sign1,0.0,0.015625,0.046875,0.0,64,0.015625,0.75,0.03125
0.625,factor_gaussian_lora:seed1235406039:s0.0075:sign-1,-0.015625,-0.015625,0.015625,0.171875,64,0.0625,0.609375,0.046875
0.640625,factor_gaussian_lora:seed1411240924:s0.0075:sign-1,0.015625,-0.015625,0.015625,-0.046875,64,0.03125,0.5,0.015625
0.59375,factor_gaussian_lora:seed1530295774:s0.0075:sign1,-0.109375,-0.015625,0.015625,-0.109375,64,0.015625,0.5625,0.0
0.703125,factor_gaussian_lora:seed1572200134:s0.0075:sign-1,0.0,0.015625,0.015625,0.015625,64,0.078125,0.640625,0.09375
0.75,factor_gaussian_lora:seed1572200134:s0.0075:sign1,-0.046875,0.015625,0.015625,-0.046875,64,0.015625,0.75,0.03125
0.625,factor_gaussian_lora:seed1632697641:s0.0075:sign1,-0.015625,-0.015625,0.015625,-0.015625,64,0.03125,0.59375,0.015625
0.765625,factor_gaussian_lora:seed1772108105:s0.0075:sign-1,-0.015625,0.015625,0.015625,0.046875,64,0.015625,0.75,0.03125
0.6875,factor_gaussian_lora:seed1772108105:s0.0075:sign1,-0.015625,0.015625,0.015625,-0.03125,64,0.046875,0.640625,0.0625
0.796875,factor_gaussian_lora:seed1970764024:s0.0075:sign-1,-0.015625,-0.015625,0.015625,-0.03125,64,0.0625,0.765625,0.046875
0.703125,factor_gaussian_lora:seed1975749735:s0.0075:sign-1,0.015625,-0.015625,0.015625,0.015625,64,0.171875,0.703125,0.15625
0.75,factor_gaussian_lora:seed2007660583:s0.0075:sign1,-0.015625,0.015625,0.015625,-0.03125,64,0.109375,0.734375,0.125
0.46875,factor_gaussian_lora:seed2033087279:s0.0075:sign-1,-0.015625,0.015625,0.015625,-0.03125,64,0.015625,0.4375,0.03125
0.71875,factor_gaussian_lora:seed221822464:s0.0075:sign1,0.0,0.015625,0.015625,-0.03125,64,0.03125,0.703125,0.046875
0.65625,factor_gaussian_lora:seed283920945:s0.0075:sign-1,-0.171875,0.015625,0.015625,-0.109375,64,0.03125,0.59375,0.046875
0.46875,factor_gaussian_lora:seed385390264:s0.0075:sign-1,-0.03125,0.015625,0.015625,0.046875,64,0.015625,0.46875,0.03125
0.703125,factor_gaussian_lora:seed509771609:s0.0075:sign1,0.0,-0.015625,0.015625,-0.03125,64,0.046875,0.703125,0.03125
0.65625,factor_gaussian_lora:seed62625326:s0.0075:sign-1,0.0,0.015625,0.015625,0.0,64,0.015625,0.65625,0.03125
0.71875,factor_gaussian_lora:seed63871914:s0.0075:sign1,0.0,-0.015625,0.015625,-0.03125,64,0.03125,0.703125,0.015625
0.21875,factor_gaussian_lora:seed668789807:s0.0075:sign-1,-0.578125,0.015625,0.015625,-0.203125,64,0.0,0.1875,0.015625
0.625,factor_gaussian_lora:seed954051228:s0.0075:sign-1,-0.03125,0.015625,0.015625,-0.046875,64,0.046875,0.59375,0.0625
0.71875,factor_gaussian_lora:seed954051228:s0.0075:sign1,0.0,0.015625,0.015625,-0.046875,64,0.03125,0.703125,0.046875
0.671875,factor_gaussian_lora:seed1407710298:s0.0075:sign-1,0.0,0.0,0.0625,-0.046875,64,0.0625,0.671875,0.0625
0.6875,factor_gaussian_lora:seed2027587152:s0.0075:sign-1,-0.015625,0.0,0.03125,-0.0625,64,0.09375,0.65625,0.09375
0.28125,factor_gaussian_lora:seed2027587152:s0.0075:sign1,-0.015625,0.0,0.03125,-0.015625,64,0.015625,0.265625,0.015625
0.5,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,-0.0625,0.0,0,-0.015625,64,0.03125,0.453125,0.03125
0.6875,factor_gaussian_lora:seed1099262776:s0.0075:sign-1,-0.5,0.0,0,-0.046875,64,0.0,0.484375,0.0
0.328125,factor_gaussian_lora:seed1156649635:s0.0075:sign1,-0.109375,0.0,0,-0.0625,64,0.03125,0.328125,0.03125
0.75,factor_gaussian_lora:seed1235406039:s0.0075:sign1,-0.015625,0.0,0,0.0,64,0.046875,0.734375,0.046875
0.28125,factor_gaussian_lora:seed1407710298:s0.0075:sign1,-0.484375,0.0,0,-0.46875,64,0.0,0.1875,0.0
0.671875,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,-0.015625,0.0,0,-0.015625,64,0.0,0.59375,0.0
