actual_sha256,adapter,candidate,expected_sha256,module,note,pass,tensor
525d0ae1ee7bc1400c3c6a7cb82b1feaaee4fd9f4c67246eabef8e619be1e102,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,5ae6885bbfa3315e385618c36c833658ce747d499474c5ee692603e0b7aef503,model.layers.0.self_attn.q_proj,,False,lora_A
47bca2b305b7a9f9bb6931ec31664ba849c4d65c0e1007080b9ac101143fe59b,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,66022f5081d15bee9b06e26de46586abcd025a386126de33e4b6e43c18745dd8,model.layers.0.self_attn.q_proj,,False,lora_B
c4d41a8cc8542c212408e65c42b5b33e1aa7327a8ed9d2b4a7f6639113fce9a5,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,52e63f1ecb7d463bce4a685de857cef7f406064b6a8a9c941a107b934bac31de,model.layers.0.self_attn.v_proj,,False,lora_A
4e96ce35b9508f42e0a9be28d1c6ed81f89a198f9d31f40743224dc865fbb94d,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,2c5622c2b3e606fe57508ad20f649b50a7514b5b81c5e34799a6e916fc5fcb48,model.layers.0.self_attn.v_proj,,False,lora_B
ad8d11d24feb39dea1bd65a4fe159afdf0b6f26c27285630ec0e76cf72aae027,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,b312ada8aa73f2c11f09d36a5e1068424d3819f177dcbe94f4e5665a87a28173,model.layers.1.self_attn.q_proj,,False,lora_A
4cdaaa9910ad32b9802c6406c8e387d2473bbd73ea00b7125f95e73e98c0d9b8,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,033ec584a8c681153eb3eb26eec0cd507c7fbf4e6e9f952f8bd5ea7db02a479c,model.layers.1.self_attn.q_proj,,False,lora_B
64a4141d2ef2b3f7167fa49be66b0bf2425a7b4d81523ba25960e2e666a372fe,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,5ec882b3b9d95bf43c6d0ec97e58bcd72cf251843190df579fe9b2f446a2611b,model.layers.1.self_attn.v_proj,,False,lora_A
8ac5a4f027f26fc01cf3f5f8e6aec09b7f41cb547e962eedddec67e1a63ba1ab,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,8ac5a4f027f26fc01cf3f5f8e6aec09b7f41cb547e962eedddec67e1a63ba1ab,model.layers.1.self_attn.v_proj,,True,lora_B
8c3d2c8acf9e4cef694f60dd47b3a305f0b7d51700197761d5bf89086523d652,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,2201e21e9d7bcee0ae222ba225e0c2818542d4946d30d44fb6a4582a8fdd8727,model.layers.2.self_attn.q_proj,,False,lora_A
d1c17b31a6ff1267e443a6c7c9da65f78306b7e2cd3567b699ae2a7024cd48f8,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,d573b531828580ffb8a58c72d1906011fad997c6ad71a9fccb861c83d540a216,model.layers.2.self_attn.q_proj,,False,lora_B
