answer_equal_rate,candidate,cap_hit_delta,exact_delta,exact_disagreement_rate,malformed_delta,n,peft_exact_mean,text_equal_rate,vllm_exact_mean
0.5625,factor_gaussian_lora:seed509771609:s0.0075:sign-1,-1.0,-0.125,0.125,0.0,16,0.125,0.5625,0.0
0.4375,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-0.5,0.0625,0.0625,-0.5,16,0.0,0,0.0625
0.875,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,-0.0625,0.0625,0.0625,0.0625,16,0.0,0.875,0.0625
0.25,factor_gaussian_lora:seed1837932928:s0.0075:sign-1,0.0,0.0625,0.0625,0.0,16,0.0,0.25,0.0625
0.4375,factor_gaussian_lora:seed1837932928:s0.0075:sign1,0.0,-0.0625,0.0625,0.125,16,0.0625,0.4375,0.0
0.5625,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,-0.0625,0.0,0,0.0,16,0.0,0.5,0.0
0.875,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,-0.0625,0.0,0,0.0,16,0.0,0.8125,0.0
0.625,factor_gaussian_lora:seed1442006728:s0.0075:sign1,-0.3125,0.0,0,-0.3125,16,0.0,0.4375,0.0
0.6875,factor_gaussian_lora:seed1530295774:s0.0075:sign1,-0.125,0.0,0,-0.125,16,0.0,0.6875,0.0
0.9375,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,0,0.0,16,0.0,0.9375,0.0
0.875,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,0,-0.125,16,0.0,0.0625,0.0
0.75,factor_gaussian_lora:seed221822464:s0.0075:sign-1,-0.125,0.0,0,0.0625,16,0.0,0.6875,0.0
0.9375,factor_gaussian_lora:seed221822464:s0.0075:sign1,0.0,0.0,0,0.0,16,0.0,0.9375,0.0
0.3125,factor_gaussian_lora:seed385390264:s0.0075:sign-1,0.0,0.0,0,0.0,16,0.0,0.3125,0.0
1,factor_gaussian_lora:seed385390264:s0.0075:sign1,0.0,0.0,0,0.0,16,0.0,0.625,0.0
0.6875,factor_gaussian_lora:seed509771609:s0.0075:sign1,0.0,0.0,0,-0.0625,16,0.0,0.6875,0.0
