answer_equal,candidate,cap_hit_delta,exact_delta,example_id,malformed_delta,peft_answer,peft_cap_hit,peft_exact,peft_malformed,prompt_variant,text_equal,vllm_answer,vllm_cap_hit,vllm_exact,vllm_malformed
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,1004,0.0,76*51/81-13,0.0,0.0,0.0,default,True,76*51/81-13,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,134,0.0,39+76-41,0.0,0.0,0.0,default,True,39+76-41,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,190,0.0,(16 - 8) * 15 / 77,0.0,0.0,0.0,default,False,(16 - 8) * 15 - 77,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,218,0.0,(10*5)+65+3,0.0,0.0,0.0,default,False,(10*5)+ (65-3),0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,238,0.0,(35 * 27) + 9,0.0,0.0,0.0,default,False,35*9+27,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,413,0.0,(27*22 - 74 - 46),0.0,0.0,0.0,default,False,27*74/22,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,424,0.0,21+21+76-42,0.0,0.0,0.0,default,True,21+21+76-42,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,605,0.0,58+41,0.0,0.0,0.0,default,False,53+41,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,-1.0,0.0,622,0.0,47+69=116,1.0,0.0,1.0,default,True,47+69=116,0.0,0.0,1.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,642,0.0,66*60+71,0.0,0.0,0.0,default,False,66*60+71,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,707,0.0,18+54-63+32,0.0,0.0,0.0,default,True,18+54-63+32,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,782,0.0,(89 - 10) * 7,0.0,0.0,0.0,default,False,(10+19+82-89),0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,848,0.0,17*61-5*12,0.0,0.0,0.0,default,True,17*61-5*12,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,874,0.0,32*90-92+67,0.0,0.0,0.0,default,True,32*90-92+67,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,99,0.0,(85 - 12) * (68 / 10),0.0,0.0,0.0,default,True,(85 - 12) * (68 / 10),0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,999,0.0,(39-74+71-50),0.0,0.0,0.0,default,False,(39-74+50-71),0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,1004,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,134,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-1.0,0.0,190,-1.0,,1.0,0.0,1.0,default,False,8*16-15+77,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,218,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,238,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
