answer_equal,candidate,cap_hit_delta,exact_delta,example_id,malformed_delta,peft_answer,peft_cap_hit,peft_exact,peft_malformed,prompt_variant,text_equal,vllm_token_ids_answer,vllm_token_ids_cap_hit,vllm_token_ids_exact,vllm_token_ids_malformed
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,1004,0.0,76*51/81-13,0.0,0.0,0.0,default,True,76*51/81-13,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,1009,0.0,(87 + 30 - 83) * 58 / 83,0.0,0.0,0.0,default,False,87-30+83-58,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,1030,0.0,(96 - 37 + 60),0.0,0.0,0.0,default,False,96-37+60-66,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,1042,0.0,(21+89-37),0.0,0.0,0.0,default,True,(21+89-37),0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,1052,0.0,(100+76)-39,0.0,0.0,0.0,default,False,39+76-100+4,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,1085,0.0,30*44/(8+32),0.0,0.0,0.0,default,True,30*44/(8+32),0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,134,0.0,39+76-41,0.0,0.0,0.0,default,True,39+76-41,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,177,0.0,34+80,0.0,0.0,0.0,default,True,34+80,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,190,0.0,(16 - 8) * 15 / 77,0.0,0.0,0.0,default,False,(16 - 8) * 15 - 77,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,-1.0,0.0,200,0.0,65,1.0,0.0,0.0,default,True,65,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,216,0.0,(59 * 11 - 76) / 2,0.0,0.0,0.0,default,True,(59 * 11 - 76) / 2,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,218,0.0,(10*5+65)*3,0.0,0.0,0.0,default,True,(10*5+65)*3,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,219,0.0,33+87-93,0.0,0.0,0.0,default,True,33+87-93,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,230,0.0,91+18+74-52,0.0,1.0,0.0,default,True,91+18+74-52,0.0,1.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,237,0.0,53*4,0.0,0.0,0.0,default,True,53*4,0.0,0.0,0.0
