policy,k,run_count,dense_best_recall,dense_best_recall_rate,mean_dense_regret,max_dense_regret,mean_dense_topk_overlap
current_selection,4,5,0,0.0,0.028125,0.046875,0.2
current_selection,8,5,0,0.0,0.021875,0.03125,0.6
current_selection,16,5,1,0.2,0.015625,0.03125,3.8
current_selection,32,5,3,0.6,0.00625,0.015625,15.0
proposal_exact,4,5,0,0.0,0.021875,0.046875,0.2
proposal_exact,8,5,0,0.0,0.0125,0.015625,1.4
proposal_exact,16,5,0,0.0,0.0125,0.015625,4.6
proposal_exact,32,5,1,0.2,0.009375,0.015625,16.0
default_exact,4,5,1,0.2,0.0125,0.015625,0.8
default_exact,8,5,1,0.2,0.009375,0.015625,1.8
default_exact,16,5,1,0.2,0.009375,0.015625,4.8
default_exact,32,5,4,0.8,0.003125,0.015625,16.8
prompt_exact_rr,4,5,0,0.0,0.015625,0.015625,0.4
prompt_exact_rr,8,5,1,0.2,0.0125,0.015625,2.0
prompt_exact_rr,16,5,3,0.6,0.003125,0.015625,4.8
prompt_exact_rr,32,5,4,0.8,0.003125,0.015625,17.0
prompt_lift_rr,4,5,0,0.0,0.015625,0.015625,0.4
prompt_lift_rr,8,5,1,0.2,0.0125,0.015625,1.8
prompt_lift_rr,16,5,3,0.6,0.003125,0.015625,4.8
prompt_lift_rr,32,5,4,0.8,0.003125,0.015625,17.0
stability_rr,4,5,0,0.0,0.021875,0.046875,0.4
stability_rr,8,5,0,0.0,0.015625,0.03125,1.2
stability_rr,16,5,3,0.6,0.003125,0.015625,5.0
stability_rr,32,5,3,0.6,0.003125,0.015625,18.2
all_builtin_rr,4,5,0,0.0,0.021875,0.046875,0.2
all_builtin_rr,8,5,1,0.2,0.0125,0.015625,1.6
all_builtin_rr,16,5,2,0.4,0.00625,0.015625,4.8
all_builtin_rr,32,5,3,0.6,0.003125,0.015625,17.4
